Community,Team,Year,Inversion (M),Signings Number
Madrid,Real Madrid,2000,127,7
Madrid,Real Madrid,2001,75,1
Madrid,Real Madrid,2002,45,1
Madrid,Real Madrid,2003,25,1
Madrid,Real Madrid,2004,60.5,4
Madrid,Real Madrid,2005,96,7
Madrid,Real Madrid,2006,103.5,8
Madrid,Real Madrid,2007,119,9
Madrid,Real Madrid,2008,63,6
Madrid,Real Madrid,2009,254,9
Madrid,Real Madrid,2010,76.5,7
Madrid,Real Madrid,2011,55,5
Madrid,Real Madrid,2012,38.5,3
Madrid,Real Madrid,2013,142.5,5
Cataluña,Barcelona,2000,85.2,6
Cataluña,Barcelona,2001,92.3,7
Cataluña,Barcelona,2002,13.6,4
Cataluña,Barcelona,2003,44.4,6
Cataluña,Barcelona,2004,75.5,7
Cataluña,Barcelona,2005,0,2
Cataluña,Barcelona,2006,31,4
Cataluña,Barcelona,2007,64.5,4
Cataluña,Barcelona,2008,96.5,7
Cataluña,Barcelona,2009,130.5,8
Cataluña,Barcelona,2010,74.5,4
Cataluña,Barcelona,2011,60,2
Cataluña,Barcelona,2012,33,2
Cataluña,Barcelona,2013,158,7